distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun
28,5,26,21.5,12,Others,E10,0,0,0
12,4.2,30,21.5,13,Others,E10,0,0,0
11.2,5.5,38,21.5,15,Others,E10,0,0,0
12.9,3.9,36,21.5,14,Others,E10,0,0,0
18.5,4.5,46,21.5,15,Others,E10,0,0,0
8.3,6.4,50,21.5,10,Others,E10,0,0,0
7.8,4.4,43,21.5,11,Others,E10,0,0,0
12.3,5,40,21.5,6,Others,E10,0,0,0
4.9,6.4,26,21.5,4,Others,E10,0,0,0
11.9,5.3,30,21.5,9,Others,E10,0,0,0
12.4,5.6,42,21.5,4,Others,E10,0,0,0
11.8,4.6,38,21.5,0,Others,E10,0,0,0
12.3,5.9,59,21.5,10,Others,E10,0,0,0
24.7,5.1,58,21.5,12,Others,E10,0,0,0
12.4,4.7,46,21.5,11,Others,E10,0,0,0
17.3,5.1,24,21.5,5,Others,E10,0,0,0
33.4,5.6,36,21.5,3,Others,E10,0,0,0
11.8,5.1,32,21.5,3,Others,E10,0,0,0
25.9,4.9,39,21.5,8,Others,E10,0,0,0
11.8,4.7,40,21.5,4,Others,E10,0,0,0
25.3,5.5,32,21.5,3,Others,E10,0,0,0
14.2,5.9,38,21.5,1,Others,E10,0,0,0
17.9,5.7,37,21.5,1,Others,E10,0,0,0
11.8,4.7,36,21.5,1,Others,E10,0,0,0
12.3,5.9,62,21.5,6,Others,E10,0,0,0
12.4,4.1,57,21.5,9,Others,E10,0,0,0
18.4,5.7,21,22.5,2,Others,E10,0,0,0
18.4,5.8,28,21.5,3,Others,E10,0,0,0
18.3,5.5,29,21.5,1,Others,E10,0,0,0
18.4,5.7,35,21.5,4,Others,E10,0,0,0
12.3,5.3,51,21.5,11,Others,E10,0,0,0
11.8,5,29,21.5,10,Others,E10,0,0,0
12.3,5.6,58,21.5,8,Others,E10,0,0,0
32.6,4.8,40,21.5,7,Others,E10,0,0,0
19,4.3,36,21.5,7,Others,E10,0,0,0
12.1,5.7,36,21.5,8,Others,E10,0,0,0
20,5.2,37,21.5,4,Others,E10,0,0,0
4.9,7.4,26,21.5,6,Others,E10,0,0,0
11.8,4.8,23,21.5,9,Others,E10,0,0,0
12.3,6.5,58,21.5,7,Others,E10,0,0,0
12.4,4,55,21.5,7,AC rain,E10,1,1,0
4.5,5,29,21.5,7,AC,E10,1,0,0
11.7,4.6,37,21.5,6,Others,E10,0,0,0
10.2,4.3,44,21.5,7,Others,E10,0,0,0
